GEOID,protests_left_wing,attendance_left_wing,protests_right_wing,attendance_right_wing,protests_pro_pan_int,attendance_pro_pan_int,protests_ant_pan_int,attendance_ant_pan_int,protests_racial_just,attendance_racial_just,protests_pro_trump,attendance_pro_trump,protests_ant_trump,attendance_ant_trump
37099,3,450,2,10,,,,,3,450,,,,
37107,1,100,,,,,,,1,100,,,,
37115,1,200,,,,,,,1,200,,,,
37119,40,4805,15,381,,,4,270,30,3650,3,60,5,225
37127,1,100,,,,,,,1,100,,,,
37129,17,1775,8,30,,,5,30,12,1715,1,0,2,20
37133,2,0,,,,,,,2,0,,,,
37135,11,1500,1,1,,,,,7,1440,,,,
37139,1,300,,,,,,,1,300,,,,
37145,2,20,,,,,,,2,20,,,,
37147,2,515,,,,,,,1,500,,,,
37151,8,275,2,0,,,,,8,275,,,,
37155,8,360,1,0,,,,,8,360,,,,
37157,1,100,,,,,,,1,100,,,,
37159,5,900,2,20,,,1,20,5,900,,,,
37167,2,160,1,50,,,,,2,160,1,50,,
37169,3,230,,,,,,,3,230,,,,
37171,4,900,1,300,,,,,4,900,,,,
37173,1,5,1,200,,,,,1,5,,,,
37179,1,0,,,,,,,,,,,,
37183,70,7230,28,3831,4,20,16,1920,51,6660,5,650,1,100
37189,3,300,1,200,,,,,3,300,,,,
37193,2,300,,,,,,,2,300,,,,
37195,3,300,,,,,,,3,300,,,,
38015,6,475,3,650,,,1,150,6,475,2,500,,
38017,20,4870,2,30,,,1,30,12,4570,,,,
38035,2,500,1,0,,,1,0,2,500,,,,
38079,1,150,,,,,,,,,,,,
38089,1,0,,,,,,,1,0,,,,
38101,1,0,,,,,,,1,0,,,,
38105,1,10,,,,,,,1,10,,,,
39003,3,400,,,,,,,3,400,,,,
39005,10,50,2,330,,,,,10,50,1,30,,
39007,3,160,1,0,,,,,2,100,,,,
39009,6,440,1,0,,,,,5,340,,,,
39011,2,0,1,0,,,,,2,0,1,0,,
39017,12,1055,2,130,,,1,30,12,1055,,,,
39023,7,1080,1,0,,,,,6,1080,,,,
39025,1,50,1,750,,,,,1,50,,,,
39029,1,0,3,120,,,3,120,,,,,,
39031,1,350,,,,,,,1,350,,,,
39033,1,100,,,,,,,1,100,,,,
